focal,starting.plants.i,starting.plants.j,time,time.1,ending.plants.i,ending.plants.j,biomass.i,biomass.j,total.fecundity.i,total.fecundity.j,per.capita.fecundity.i,per.capita.fecundity.j
i,1,12,1,0.9048374180354695,10.858049016425621,1.024208404014206,10.0203456869246,5.12104202007103,50.101728434623,5.6596267108289355,4.614247767608261,NA
i,9,2,2,7.368576777701827,1.637461506155964,16.693281192780965,6.047112634560013,83.46640596390483,30.235563172800063,11.327344273114438,18.464900126892022,NA
i,6,0,3,4.444909324088111,0,22.34503303994809,0,111.72516519974045,0,25.13553304547135,NA,NA
i,1,6,4,0.6703200460356382,4.02192027621383,11.411332041632253,18.771096903284604,57.05666020816126,93.85548451642302,85.11853486346101,23.335988301781317,NA
i,2,1,5,1.2130613194250908,0.6065306597125454,16.623333264685805,14.837812859640989,83.11666632342903,74.18906429820494,68.51810785857117,122.31708836180772,NA
j,15,8,6,8.232174541409712,4.390493088751841,16.048115561365456,15.610712876859274,80.24057780682728,78.05356438429638,9.747191025068638,17.777858387766184,NA
j,14,2,7,6.952194253079709,0.9931706075828158,16.34106171875522,15.292640383307218,81.7053085937761,76.4632019165361,11.752449028244856,76.98898994064339,NA
j,3,0,8,1.3479868900143597,0,23.74976900287374,0,118.7488450143687,0,88.09347174964269,NA,NA
j,6,8,9,2.4394179545768044,3.2525572727690744,15.81604278193433,15.850497314372582,79.08021390967166,79.2524865718629,32.41765674525039,24.366207856008348,NA
j,5,2,10,1.8393971951648225,0.7357588780659287,15.872253724042762,15.794210593959379,79.3612686202138,78.9710529697969,43.14525912555961,107.33278975496181,NA
