"","t","scenario","function.int","Population","N"
"598",12,"high",4,"Nj",0.000897668018986642
"599",13,"high",4,"Ni",106.543599052522
"600",13,"high",4,"Nj",0.00202353287892374
"601",14,"high",4,"Ni",28.7686846598356
"602",14,"high",4,"Nj",0.000305674070761096
"603",15,"high",4,"Ni",44.3117235240997
"604",15,"high",4,"Nj",0.000313618845548993
"605",16,"high",4,"Ni",18.0060269751952
"606",16,"high",4,"Nj",0.000118789274334909
"607",17,"high",4,"Ni",112.121874725199
"608",17,"high",4,"Nj",0.000281450769380317
"609",18,"high",4,"Ni",30.2738093475015
"610",18,"high",4,"Nj",4.24016369209139e-05
"611",19,"high",4,"Ni",39.1532621520093
"612",19,"high",4,"Nj",3.89706110936699e-05
"613",20,"high",4,"Ni",21.7672907594037
"614",20,"high",4,"Nj",1.97641188692293e-05
"615",21,"high",4,"Ni",81.4322481501494
"616",21,"high",4,"Nj",3.4658149746418e-05
"617",22,"high",4,"Ni",22.0404863257577
"618",22,"high",4,"Nj",5.51975390975695e-06
"619",23,"high",4,"Ni",79.5110420692976
"620",23,"high",4,"Nj",9.47287444056226e-06
"621",24,"high",4,"Ni",21.5371719967429
"622",24,"high",4,"Nj",1.52451522620943e-06
"623",25,"high",4,"Ni",83.0822910118955
"624",25,"high",4,"Nj",2.72243180936537e-06
