"","t","scenario","function.int","Population","N"
"122",8,"low",3,"Nj",14.2287844518385
"123",9,"low",3,"Ni",110.38232893688
"124",9,"low",3,"Nj",93.9727048478392
"125",10,"low",3,"Ni",29.8075347882895
"126",10,"low",3,"Nj",26.7982832483164
"127",11,"low",3,"Ni",40.4701914990219
"128",11,"low",3,"Nj",18.8716471160678
"129",12,"low",3,"Ni",30.9947918909779
"130",12,"low",3,"Nj",12.817189115284
"131",13,"low",3,"Ni",63.9246965219694
"132",13,"low",3,"Nj",55.1017073502724
"133",14,"low",3,"Ni",18.1756604766394
"134",14,"low",3,"Nj",16.5550392931432
"135",15,"low",3,"Ni",97.963512774797
"136",15,"low",3,"Nj",60.1705863139298
"137",16,"low",3,"Ni",26.4896986139165
"138",16,"low",3,"Nj",17.2122043006209
"139",17,"low",3,"Ni",64.3518542172425
"140",17,"low",3,"Nj",31.56297257815
"141",18,"low",3,"Ni",19.2684484602543
"142",18,"low",3,"Nj",9.87417711439105
"143",19,"low",3,"Ni",155.573039292685
"144",19,"low",3,"Nj",353.104270990896
"145",20,"low",3,"Ni",42.0047206240064
"146",20,"low",3,"Nj",100.634719427943
"147",21,"low",3,"Ni",12.575869862487
"148",21,"low",3,"Nj",31.0929137308992
"149",22,"low",3,"Ni",49.3027708903289
"150",22,"low",3,"Nj",59.2958530049771
"151",23,"low",3,"Ni",15.9747905332449
"152",23,"low",3,"Nj",19.3492460775038
"153",24,"low",3,"Ni",94.3847855500729
"154",24,"low",3,"Nj",49.578067038231
"155",25,"low",3,"Ni",25.5607045115477
"156",25,"low",3,"Nj",14.2203287410447
"157",0,"low",4,"Ni",135.213129706153
"158",0,"low",4,"Nj",15.8570207525683
"159",1,"low",4,"Ni",36.5476801273723
"160",1,"low",4,"Nj",5.30248606532973
"161",2,"low",4,"Ni",108.373436239632
"162",2,"low",4,"Nj",31.4654430910763
"163",3,"low",4,"Ni",29.4103917662829
"164",3,"low",4,"Nj",9.56832971985753
"165",4,"low",4,"Ni",134.335069091079
"166",4,"low",4,"Nj",70.5210723527837
"167",5,"low",4,"Ni",36.2746675365019
"168",5,"low",4,"Nj",20.1249706768485
"169",6,"low",4,"Ni",44.0317258439003
"170",6,"low",4,"Nj",27.4240583526324
"171",7,"low",4,"Ni",27.7781196291549
"172",7,"low",4,"Nj",16.4804013343284
"173",8,"low",4,"Ni",72.5661781038362
"174",8,"low",4,"Nj",52.3993972554394
"175",9,"low",4,"Ni",20.4464430783205
"176",9,"low",4,"Nj",15.7771383510367
"177",10,"low",4,"Ni",98.5664139597538
"178",10,"low",4,"Nj",73.3360003800859
"179",11,"low",4,"Ni",26.6681418554731
"180",11,"low",4,"Nj",20.9904917900903
"181",12,"low",4,"Ni",61.3933441270324
"182",12,"low",4,"Nj",34.2449600821329
"183",13,"low",4,"Ni",20.4724027718851
"184",13,"low",4,"Nj",13.0661569600379
"185",14,"low",4,"Ni",125.486668653699
"186",14,"low",4,"Nj",92.4501539141229
"187",15,"low",4,"Ni",33.8847404838511
"188",15,"low",4,"Nj",26.3578021344974
"189",16,"low",4,"Ni",39.0897985604034
"190",16,"low",4,"Nj",20.8981132476506
"191",17,"low",4,"Ni",38.6772787221281
"192",17,"low",4,"Nj",23.5862993604018
"193",18,"low",4,"Ni",36.0824374331203
"194",18,"low",4,"Nj",19.66580279385
