"","Time","Seeds i","Plants i","Biomass i","Seeds j","Plants j","Biomass j"
"",0,1e+05,0,0,1e+05,0,0
"",0,1e+05,0,0,1e+05,0,0
"",5e-04,99994.9501275104,0.0499974875631382,0.0100245364075971,99999.70000045,0.0499998625001896,0.0100250128276484
"",0.001,99989.9005100328,0.0999899505050119,0.0200983055564313,99999.4000018,0.0999994500015167,0.0201002171155761
"",0.0015,99984.8511475545,0.149977389204358,0.0302215450701787,99999.10000405,0.149998762505119,0.0302258592290983
"",0.002,99979.8020400626,0.199959804039875,0.040394494217851,99998.8000071999,0.199997800012133,0.0404021872814547
"",0.0025,99974.7531875442,0.249937195390224,0.0506173937510789,99998.5000112499,0.249996562523698,0.0506294509582098
"",0.003,99969.7045899864,0.299909563634079,0.0608904843679443,99998.2000161999,0.29999505004095,0.0609078999398683
"",0.0035,99964.6562473763,0.349876909150051,0.0712140090233147,99997.9000220498,0.349993262565027,0.0712377862759148
"",0.004,99959.6081597011,0.399839232316736,0.0815882113968348,99997.6000287998,0.399991200097066,0.0816193628111778
"",0.0045,99954.5603269479,0.449796533512707,0.0920133362813346,99997.3000364496,0.449988862638205,0.0920528835856847
"",0.005,99949.5127491038,0.499748813116511,0.102489629587267,99997.0000449995,0.499986250189582,0.102538603839825
"",0.0055,99944.465426156,0.549696071506668,0.113017338347154,99996.7000544494,0.549983362752333,0.113076780019532
"",0.006,99939.4183580915,0.599638309061677,0.123596710720047,99996.4000647992,0.599980200327596,0.123667669781481
"",0.0065,99934.3715448975,0.649575526160007,0.134227995995993,99996.100076049,0.64997676291651,0.134311531998305
"",0.007,99929.3249865612,0.699507723180103,0.144911444600515,99995.8000881987,0.69997305052021,0.145008626763827
"",0.0075,99924.2786830696,0.749434900500386,0.155647308099097,99995.5001012485,0.749969063139835,0.155759215398314
"",0.008,99919.2326344099,0.79935705849925,0.166435839201688,99995.2001151981,0.799964800776522,0.166563560453738
"",0.0085,99914.1868405692,0.849274197555065,0.177277291767207,99994.9001300478,0.849960263431408,0.177421925719066
"",0.009,99909.1413015347,0.899186318046174,0.188171920808066,99994.6001457974,0.899955451105632,0.188334576225561
"",0.0095,99904.0960172935,0.949093420350896,0.199119982494697,99994.3001624469,0.949950363800329,0.1993017782521
"",0.01,99899.0509878327,0.998995504847526,0.210121734160094,99994.0001799964,0.999945001516638,0.210323799330511
"",0.0105,99894.0062131394,1.04889257191433,0.221177434304363,99993.7001984458,1.0499393642557,0.22140090825093
"",0.011,99888.9616932008,1.09878462192955,0.232287342599282,99993.4002177952,1.09993345201864,0.232533375067165
"",0.0115,99883.9174280041,1.14867165527141,0.243451719892873,99993.1002380445,1.14992726480661,0.243721471102094
"",0.012,99878.8734175363,1.19855367231809,0.254670828213982,99992.8002591938,1.19992080262074,0.254965468953062
"",0.0125,99873.8296617846,1.24843067344776,0.265944930776871,99992.500281243,1.24991406546217,0.266265642497309
"",0.013,99868.7861607362,1.29830265903857,0.277274291985822,99992.2003041921,1.29990705333204,0.277622266897409
"",0.0135,99863.7429143781,1.34816962946863,0.288659177439745,99991.9003280411,1.34989976623148,0.289035618606729
"",0.014,99858.6999226975,1.39803158511603,0.300099853936804,99991.6003527901,1.39989220416163,0.300505975374899
"",0.0145,99853.6571856816,1.44788852635883,0.311596589479047,99991.300378439,1.44988436712362,0.31203361625331
"",0.015,99848.6147033175,1.49774045357508,0.323149653277051,99991.0004049878,1.49987625511861,0.323618821600619
"",0.0155,99843.5724755923,1.54758736714279,0.334759315754575,99990.7004324366,1.54986786814772,0.335261873088279
"",0.016,99838.5305024931,1.59742926743996,0.34642584820799,99990.4004607852,1.59985920621209,0.34696305330146
