focal,starting.plants.i,starting.plants.j,time,time.1,ending.plants.i,ending.plants.j,biomass.i,biomass.j,total.fecundity.i,total.fecundity.j,per.capita.fecundity.i,per.capita.fecundity.j
i,1,12,1,0.9048374180353724,10.85804901642447,0.8212286517096812,10.039658000103877,4.106143258548406,50.198290000519386,4.537990114803018,4.623140853811467,NA
i,9,2,2,7.368576777701836,1.6374615061559636,14.797015585048339,6.2688551708148585,73.9850779252417,31.344275854074294,10.040619804509479,19.14199249034978,NA
i,6,0,3,4.444909324088111,0,22.34503303994809,0,111.72516519974045,0,25.13553304547135,NA,NA
i,1,6,4,0.6703200460356389,4.02192027621384,2.700386158545705,22.109975791921272,13.501930792728524,110.54987895960636,20.1425138224356,27.486839958865602,NA
i,2,1,5,1.2130613194251216,0.6065306597125608,8.240832517948888,18.44622304195646,41.20416258974444,92.2311152097823,33.96708965155314,152.0634014667804,NA
j,15,8,6,8.23217454137718,4.390493088734501,5.250523039512891,20.744384461746765,26.252615197564456,103.72192230873382,3.1890255807395205,23.624208081518752,NA
j,14,2,7,6.952194253079708,0.9931706075828146,6.156056611969349,20.122043862623613,30.780283059846745,100.61021931311807,4.427419882033875,101.30205077049541,NA
j,3,0,8,1.3479868900143597,0,23.74976900287374,0,118.7488450143687,0,88.09347174964269,NA,NA
j,6,8,9,2.439417958675086,3.2525572782334606,2.8869443229873886,22.206115535441487,14.434721614936944,111.03057767720743,5.917281031569035,34.13639428281205,NA
j,5,2,10,1.8393972058114167,0.735758882324566,3.3710096998102115,21.92412382275816,16.85504849905106,109.6206191137908,9.163354410781416,148.9898684844334,NA
