"","focal","function.int","Rhat","Neff"
"1","LARO",1,1.00123982306936,2376.64853683763
"2","LARO",2,1.0038431348804,1987.8446475095
"3","LARO",3,1.00688510867744,677.175513074498
"4","LARO",4,1.00771159955765,668.73389503984
