focal,plants.i,plants.j,seeds.i,seeds.j,time,biomass,fecundity
j,2,4,NA,NA,5,236.9737,1493
j,2,4,NA,NA,5,236.9737,1507
j,2,4,NA,NA,5,236.9737,1519
j,9,8,NA,NA,6,236.9736,800
j,9,8,NA,NA,6,236.9736,756
j,9,8,NA,NA,6,236.9736,786
j,9,8,NA,NA,6,236.9736,813
j,9,8,NA,NA,6,236.9736,781
j,9,8,NA,NA,6,236.9736,722
j,9,8,NA,NA,6,236.9736,799
j,9,8,NA,NA,6,236.9736,716
j,9,8,NA,NA,6,236.9736,824
j,9,8,NA,NA,6,236.9736,709
j,1,4,NA,NA,7,236.9775,1460
j,1,4,NA,NA,7,236.9775,1548
j,1,4,NA,NA,7,236.9775,1658
j,1,4,NA,NA,7,236.9775,1504
j,1,4,NA,NA,7,236.9775,1598
j,1,4,NA,NA,7,236.9775,1466
j,1,4,NA,NA,7,236.9775,1531
j,1,4,NA,NA,7,236.9775,1557
j,1,4,NA,NA,7,236.9775,1509
j,1,4,NA,NA,7,236.9775,1536
j,1,7,NA,NA,8,236.9662,926
j,1,7,NA,NA,8,236.9662,897
j,1,7,NA,NA,8,236.9662,819
j,1,7,NA,NA,8,236.9662,885
j,1,7,NA,NA,8,236.9662,860
j,1,7,NA,NA,8,236.9662,876
j,1,7,NA,NA,8,236.9662,956
j,1,7,NA,NA,8,236.9662,907
j,1,7,NA,NA,8,236.9662,823
j,1,7,NA,NA,8,236.9662,877
j,9,10,NA,NA,9,236.9713,607
j,9,10,NA,NA,9,236.9713,615
j,9,10,NA,NA,9,236.9713,558
j,9,10,NA,NA,9,236.9713,608
j,9,10,NA,NA,9,236.9713,648
j,9,10,NA,NA,9,236.9713,623
j,9,10,NA,NA,9,236.9713,612
j,9,10,NA,NA,9,236.9713,650
j,9,10,NA,NA,9,236.9713,669
j,9,10,NA,NA,9,236.9713,598
j,3,2,NA,NA,10,236.9736,3156
j,3,2,NA,NA,10,236.9736,3140
j,3,2,NA,NA,10,236.9736,3037
j,3,2,NA,NA,10,236.9736,3155
j,3,2,NA,NA,10,236.9736,3166
j,3,2,NA,NA,10,236.9736,3051
j,3,2,NA,NA,10,236.9736,3166
j,3,2,NA,NA,10,236.9736,3157
j,3,2,NA,NA,10,236.9736,3184
j,3,2,NA,NA,10,236.9736,3126
i,5,9,NA,NA,1,127.85109,746
i,5,9,NA,NA,1,127.85109,717
i,5,9,NA,NA,1,127.85109,710
i,5,9,NA,NA,1,127.85109,666
i,5,9,NA,NA,1,127.85109,702
i,5,9,NA,NA,1,127.85109,685
i,5,9,NA,NA,1,127.85109,750
i,5,9,NA,NA,1,127.85109,677
i,5,9,NA,NA,1,127.85109,679
i,5,9,NA,NA,1,127.85109,675
i,2,0,NA,NA,2,247.49957,3690
i,2,0,NA,NA,2,247.49957,3806
i,2,0,NA,NA,2,247.49957,3932
i,2,0,NA,NA,2,247.49957,3820
i,2,0,NA,NA,2,247.49957,3798
i,2,0,NA,NA,2,247.49957,3772
i,2,0,NA,NA,2,247.49957,3763
i,2,0,NA,NA,2,247.49957,3823
i,2,0,NA,NA,2,247.49957,3725
i,2,0,NA,NA,2,247.49957,3791
i,9,9,NA,NA,3,129.01359,494
i,9,9,NA,NA,3,129.01359,429
i,9,9,NA,NA,3,129.01359,485
i,9,9,NA,NA,3,129.01359,509
i,9,9,NA,NA,3,129.01359,498
i,9,9,NA,NA,3,129.01359,503
i,9,9,NA,NA,3,129.01359,481
i,9,9,NA,NA,3,129.01359,465
i,9,9,NA,NA,3,129.01359,490
i,9,9,NA,NA,3,129.01359,464
i,3,2,NA,NA,4,129.01317,1600
i,3,2,NA,NA,4,129.01317,1588
i,3,2,NA,NA,4,129.01317,1611
i,3,2,NA,NA,4,129.01317,1550
i,3,2,NA,NA,4,129.01317,1582
i,3,2,NA,NA,4,129.01317,1586
i,3,2,NA,NA,4,129.01317,1614
i,3,2,NA,NA,4,129.01317,1629
i,3,2,NA,NA,4,129.01317,1569
i,3,2,NA,NA,4,129.01317,1647
i,1,8,NA,NA,5,129.01311,5249
i,1,8,NA,NA,5,129.01311,5191
i,1,8,NA,NA,5,129.01311,5362
i,1,8,NA,NA,5,129.01311,5169
i,1,8,NA,NA,5,129.01311,5332
i,1,8,NA,NA,5,129.01311,5442
i,1,8,NA,NA,5,129.01311,5246
i,1,8,NA,NA,5,129.01311,5396
i,1,8,NA,NA,5,129.01311,5317
i,1,8,NA,NA,5,129.01311,5396
i,1,2,NA,NA,6,129.01302,5956
i,1,2,NA,NA,6,129.01302,5960
i,1,2,NA,NA,6,129.01302,5819
i,1,2,NA,NA,6,129.01302,5793
i,1,2,NA,NA,6,129.01302,5942
i,1,2,NA,NA,6,129.01302,5724
i,1,2,NA,NA,6,129.01302,6047
i,1,2,NA,NA,6,129.01302,5905
i,1,2,NA,NA,6,129.01302,5826
i,1,2,NA,NA,6,129.01302,5920
i,7,4,NA,NA,7,129.01313,959
i,7,4,NA,NA,7,129.01313,924
i,7,4,NA,NA,7,129.01313,880
i,7,4,NA,NA,7,129.01313,934
i,7,4,NA,NA,7,129.01313,932
i,7,4,NA,NA,7,129.01313,957
i,7,4,NA,NA,7,129.01313,971
i,7,4,NA,NA,7,129.01313,877
i,7,4,NA,NA,7,129.01313,946
i,7,4,NA,NA,7,129.01313,908
i,4,3,NA,NA,8,128.99628,1731
i,4,3,NA,NA,8,128.99628,1816
i,4,3,NA,NA,8,128.99628,1799
i,4,3,NA,NA,8,128.99628,1826
i,4,3,NA,NA,8,128.99628,1857
i,4,3,NA,NA,8,128.99628,1850
i,4,3,NA,NA,8,128.99628,1799
i,4,3,NA,NA,8,128.99628,1747
i,4,3,NA,NA,8,128.99628,1820
i,4,3,NA,NA,8,128.99628,1794
i,12,1,NA,NA,9,129.0132,664
i,12,1,NA,NA,9,129.0132,638
i,12,1,NA,NA,9,129.0132,633
i,12,1,NA,NA,9,129.0132,686
i,12,1,NA,NA,9,129.0132,675
i,12,1,NA,NA,9,129.0132,697
i,12,1,NA,NA,9,129.0132,618
i,12,1,NA,NA,9,129.0132,646
i,12,1,NA,NA,9,129.0132,691
i,12,1,NA,NA,9,129.0132,637
i,10,12,NA,NA,10,129.01381,878
i,10,12,NA,NA,10,129.01381,841
i,10,12,NA,NA,10,129.01381,923
i,10,12,NA,NA,10,129.01381,894
i,10,12,NA,NA,10,129.01381,889
i,10,12,NA,NA,10,129.01381,841
i,10,12,NA,NA,10,129.01381,865
i,10,12,NA,NA,10,129.01381,898
i,10,12,NA,NA,10,129.01381,874
i,10,12,NA,NA,10,129.01381,909
j,5,5,NA,NA,1,233.2342,1165
j,5,5,NA,NA,1,233.2342,1216
j,5,5,NA,NA,1,233.2342,1189
j,5,5,NA,NA,1,233.2342,1201
j,5,5,NA,NA,1,233.2342,1234
j,5,5,NA,NA,1,233.2342,1226
j,5,5,NA,NA,1,233.2342,1135
j,5,5,NA,NA,1,233.2342,1181
j,5,5,NA,NA,1,233.2342,1102
j,5,5,NA,NA,1,233.2342,1149
j,8,2,NA,NA,2,236.9352,2950
j,8,2,NA,NA,2,236.9352,2909
j,8,2,NA,NA,2,236.9352,3033
j,8,2,NA,NA,2,236.9352,2967
j,8,2,NA,NA,2,236.9352,3011
j,8,2,NA,NA,2,236.9352,2980
j,8,2,NA,NA,2,236.9352,3030
j,8,2,NA,NA,2,236.9352,2968
j,8,2,NA,NA,2,236.9352,3031
j,8,2,NA,NA,2,236.9352,2962
j,7,2,NA,NA,3,236.9733,3077
j,7,2,NA,NA,3,236.9733,2984
j,7,2,NA,NA,3,236.9733,3065
j,7,2,NA,NA,3,236.9733,3002
j,7,2,NA,NA,3,236.9733,3021
j,7,2,NA,NA,3,236.9733,3080
j,7,2,NA,NA,3,236.9733,2915
j,7,2,NA,NA,3,236.9733,2913
j,7,2,NA,NA,3,236.9733,3021
j,7,2,NA,NA,3,236.9733,3065
j,1,9,NA,NA,4,236.9736,682
j,1,9,NA,NA,4,236.9736,658
j,1,9,NA,NA,4,236.9736,646
j,1,9,NA,NA,4,236.9736,649
j,1,9,NA,NA,4,236.9736,668
j,1,9,NA,NA,4,236.9736,691
j,1,9,NA,NA,4,236.9736,673
j,1,9,NA,NA,4,236.9736,662
j,1,9,NA,NA,4,236.9736,688
j,1,9,NA,NA,4,236.9736,676
j,9,0,NA,NA,5,0,NA
j,9,0,NA,NA,5,0,NA
j,9,0,NA,NA,5,0,NA
j,9,0,NA,NA,5,0,NA
j,9,0,NA,NA,5,0,NA
j,9,0,NA,NA,5,0,NA
j,9,0,NA,NA,5,0,NA
j,9,0,NA,NA,5,0,NA
j,9,0,NA,NA,5,0,NA
j,9,0,NA,NA,5,0,NA
j,7,5,NA,NA,6,236.9735,1231
j,7,5,NA,NA,6,236.9735,1253
j,7,5,NA,NA,6,236.9735,1209
j,7,5,NA,NA,6,236.9735,1208
j,7,5,NA,NA,6,236.9735,1244
j,7,5,NA,NA,6,236.9735,1220
j,7,5,NA,NA,6,236.9735,1258
j,7,5,NA,NA,6,236.9735,1214
j,7,5,NA,NA,6,236.9735,1202
j,7,5,NA,NA,6,236.9735,1207
j,8,10,NA,NA,7,236.974,638
j,8,10,NA,NA,7,236.974,614
j,8,10,NA,NA,7,236.974,606
j,8,10,NA,NA,7,236.974,605
j,8,10,NA,NA,7,236.974,600
j,8,10,NA,NA,7,236.974,591
j,8,10,NA,NA,7,236.974,675
j,8,10,NA,NA,7,236.974,623
j,8,10,NA,NA,7,236.974,598
j,8,10,NA,NA,7,236.974,638
j,3,2,NA,NA,8,236.9742,3092
j,3,2,NA,NA,8,236.9742,3004
j,3,2,NA,NA,8,236.9742,3075
j,3,2,NA,NA,8,236.9742,3131
j,3,2,NA,NA,8,236.9742,2988
j,3,2,NA,NA,8,236.9742,3063
j,3,2,NA,NA,8,236.9742,3024
j,3,2,NA,NA,8,236.9742,3116
j,3,2,NA,NA,8,236.9742,3044
j,3,2,NA,NA,8,236.9742,3076
j,9,5,NA,NA,9,236.974,1209
j,9,5,NA,NA,9,236.974,1244
j,9,5,NA,NA,9,236.974,1213
