a_initial.i.i,a_initial.i.j,a_initial.j.i,a_initial.j.j,a_slope.i.i,a_slope.i.j,a_slope.j.i,a_slope.j.j,c.i.i,c.i.j,c.j.i,c.j.j,g.i,g.j,lambda.i,lambda.j,Nmax.i.i,Nmax.i.j,Nmax.j.i,Nmax.j.j,s.i,s.j,sim.i,sim.j,function.int,time,Ni.Ni,Nj.Ni,invader.Ni,grwr.Ni,Cgrwc.Ni,grwrChesson.Ni,grwrStouffer.Ni,Ni.Nj,Nj.Nj,invader.Nj,grwr.Nj,Cgrwc.Nj,grwrChesson.Nj,grwrStouffer.Nj,coex.stouff,prob.coex.stouff,prob.stable.stouff,coex.chess,prob.coex.chess,prob.stable.chess
-0.19424354639085362,-0.10751078543984201,-0.07599087788467981,-0.17028236993741092,-0.11059313942678273,-0.43885872862301767,-0.40309199364855886,-0.6164925517514348,0.9320993775036186,0.18429387011565268,0.141041686758399,0.5063486315775663,1,1,1,1,7,1,8,2,1,1,1,1,1,1,1,5.87259855713519,Ni,1.4326022328376673,0.8980668363527308,0.43548341167281907,0.3594925337881393,5.148176186959729,1,Nj,1.318155175349221,0.9268246611222608,0.38374395005969963,0.27623316461985775,coex,3916,864,coex,4095,772
-0.19424354639085362,-0.10751078543984201,-0.07599087788467981,-0.17028236993741092,-0.11059313942678273,-0.43885872862301767,-0.40309199364855886,-0.6164925517514348,0.9320993775036186,0.18429387011565268,0.141041686758399,0.5063486315775663,1,1,1,1,7,1,8,2,1,1,1,1,2,1,1,0.0259556930040604,Ni,4.715106900793108,2.508430028190276,-2.194998644471402,1.5507715883189888,2.0203129187184178e-4,1,Nj,4.247272900700358,42.34160755683959,0.526620035885857,1.4462771065543043,coex,4078,0,comp,345,0
-0.19424354639085362,-0.10751078543984201,-0.07599087788467981,-0.17028236993741092,-0.11059313942678273,-0.43885872862301767,-0.40309199364855886,-0.6164925517514348,0.9320993775036186,0.18429387011565268,0.141041686758399,0.5063486315775663,1,1,1,1,7,1,8,2,1,1,1,1,3,1,1,2.2094341731005933,Ni,11510660032530.924,2.1807201376050362,NA,30.074294681286762,0,1,Nj,2.2926712674127674,NA,0.05006246946035742,0.829717630062589,coex,1,0,comp,0,0
-0.19424354639085362,-0.10751078543984201,-0.07599087788467981,-0.17028236993741092,-0.11059313942678273,-0.43885872862301767,-0.40309199364855886,-0.6164925517514348,0.9320993775036186,0.18429387011565268,0.141041686758399,0.5063486315775663,1,1,1,1,7,1,8,2,1,1,1,1,4,1,1,2.521223663063413,Ni,1.850267041923817,1.1197364718332772,1.4671827572673628,0.6153299756590568,7.720171890245168,1,Nj,0.7986822038680579,0.42662375858575297,-0.33788551929444305,-0.22479215467918465,comp,6,0,comp,0,0
-0.12370216757451924,-0.02129145182171581,-0.009728981858879411,-0.09022575554119144,-0.4019163076300174,-0.030745381489396095,-0.601056483341381,-0.6552969412878156,0.9185873952228576,0.3247065981850028,0.11240116646513343,0.7916219616308808,1,1,1,1,1,4,10,4,1,1,2,2,1,1,1,11.083309793326833,Ni,2.156461130309254,0.9789336110038056,0.778197494368743,0.7684685125098635,8.083932720076158,1,Nj,2.0910275176842292,0.9903181915780048,0.7589470322410307,0.7376555804193151,coex,406,4554,coex,435,4554
-0.12370216757451924,-0.02129145182171581,-0.009728981858879411,-0.09022575554119144,-0.4019163076300174,-0.030745381489396095,-0.601056483341381,-0.6552969412878156,0.9185873952228576,0.3247065981850028,0.11240116646513343,0.7916219616308808,1,1,1,1,1,4,10,4,1,1,2,2,2,1,1,5.903018378417384e-27,Ni,2.401990653278174,2.9181349388688083,-3.598115368717645,0.8762978324254806,2.5620195650691073,1,Nj,18.809951365342858,87.7430977509231,1.8634413650885815,2.934386057735054,coex,1,0,comp,0,0
-0.12370216757451924,-0.02129145182171581,-0.009728981858879411,-0.09022575554119144,-0.4019163076300174,-0.030745381489396095,-0.601056483341381,-0.6552969412878156,0.9185873952228576,0.3247065981850028,0.11240116646513343,0.7916219616308808,1,1,1,1,1,4,10,4,1,1,2,2,3,1,1,0,Ni,2.401990653278174,NA,0.6449886535804562,0.8762978324254806,2.4077348296620316,1,Nj,1366.783181999077,1.260248821495938,NA,7.220215215511554,coex,1,0,comp,0,0
-0.12370216757451924,-0.02129145182171581,-0.009728981858879411,-0.09022575554119144,-0.4019163076300174,-0.030745381489396095,-0.601056483341381,-0.6552969412878156,0.9185873952228576,0.3247065981850028,0.11240116646513343,0.7916219616308808,1,1,1,1,1,4,10,4,1,1,2,2,4,1,1,0.003328995540074019,Ni,2.40297480458331,2.66555623478328,0.7860467255164962,0.8767074717153066,2.6361864098666077,1,Nj,3.9604640955198898,1.0948974941069547,0.39594845990592786,1.3763612142378494,coex,2085,0,coex,1166,0
-0.34258537888206414,-0.06276678124854934,-0.0030609722969277067,-0.273691381285841,-0.4194974035490304,-0.6148342033848166,-0.749596701702103,-0.13970562745817006,0.14584634243510664,0.4941544272005558,0.5932698894757777,0.17983613605611026,1,1,1,1,3,0,2,1,1,1,3,3,1,1,1,3.6537504224716835,Ni,1.9083339659891974,0.9391624784507656,0.6492915645917899,0.6462305922948622,2.918980381659115,1,Nj,1.7213237477942722,0.9969437077024397,0.6058603968783037,0.5430936156297543,coex,253,4725,coex,300,4725
-0.34258537888206414,-0.06276678124854934,-0.0030609722969277067,-0.273691381285841,-0.4194974035490304,-0.6148342033848166,-0.749596701702103,-0.13970562745817006,0.14584634243510664,0.4941544272005558,0.5932698894757777,0.17983613605611026,1,1,1,1,3,0,2,1,1,1,3,3,2,1,1,2.238532182666487,Ni,2.9721964161350427,0.5078338333417685,-0.657495220595105,1.089301213546249,2.846782269939168e-4,1,Nj,2.0673977701008894,5.736196925101667,1.4038916851843202,0.7262907005509543,coex,3314,0,comp,1611,0
-0.34258537888206414,-0.06276678124854934,-0.0030609722969277067,-0.273691381285841,-0.4194974035490304,-0.6148342033848166,-0.749596701702103,-0.13970562745817006,0.14584634243510664,0.4941544272005558,0.5932698894757777,0.17983613605611026,1,1,1,1,3,0,2,1,1,1,3,3,3,1,1,3.0110867641991748,Ni,0.3366832068315882,2.6492222518484803,-0.7501205684162433,-1.088612829819004,2.9469885237377578,1,Nj,1.7619704313974265,0.7128442957824425,-0.40783336095261535,0.5664327461004375,comp,3,0,comp,0,2978
-0.34258537888206414,-0.06276678124854934,-0.0030609722969277067,-0.273691381285841,-0.4194974035490304,-0.6148342033848166,-0.749596701702103,-0.13970562745817006,0.14584634243510664,0.4941544272005558,0.5932698894757777,0.17983613605611026,1,1,1,1,3,0,2,1,1,1,3,3,4,1,1,3.1971082355460103,Ni,0.3454959458837423,1.2442394881903924,-0.8436570533783103,-1.0627743698989958,2.9358082692571843,1,Nj,1.7474107079938637,0.8032274807725706,0.3396106064101848,0.5581350968211125,comp,0,0,comp,3,0
-0.3174583531950572,-0.18257260719710774,-0.1333865262441832,-0.27844913954246464,-0.21670201187953353,-0.2571017441805452,-0.9313310510478914,-0.08062944794073701,0.9146638121455908,0.47461590683087707,0.6248642187565565,0.6204926378559321,1,1,1,1,3,0,3,10,1,1,4,4,1,1,1,3.591320129928058,Ni,1.2256948774157879,0.833124150922802,0.3368944562872136,0.2035079300430304,3.1500194905426415,1,Nj,1.1577096218211937,0.8751267672647327,0.32901619654456804,0.14644358934746032,coex,4753,198,coex,4851,100
-0.3174583531950572,-0.18257260719710774,-0.1333865262441832,-0.27844913954246464,-0.21670201187953353,-0.2571017441805452,-0.9313310510478914,-0.08062944794073701,0.9146638121455908,0.47461590683087707,0.6248642187565565,0.6204926378559321,1,1,1,1,3,0,3,10,1,1,4,4,2,1,1,1.0849702734255984e-13,Ni,3.0524534300769566,1.7512426972209862,-1.7293401833278017,1.1159456705642985,0.9993578883126041,1,Nj,2.7400847281819236,17.206476504278843,0.44766319399361054,1.0079888426160148,coex,1422,0,comp,466,0
-0.3174583531950572,-0.18257260719710774,-0.1333865262441832,-0.27844913954246464,-0.21670201187953353,-0.2571017441805452,-0.9313310510478914,-0.08062944794073701,0.9146638121455908,0.47461590683087707,0.6248642187565565,0.6204926378559321,1,1,1,1,3,0,3,10,1,1,4,4,3,1,1,2.8928198656931556,Ni,0.4394438146987429,1.251828928952004,0.35703577136273856,-0.822245409167266,3.774155680622297,1,Nj,0.7384885646598262,0.30749969594586,-0.5277552868053937,-0.3031496616805879,comp,0,0,comp,0,4140
-0.3174583531950572,-0.18257260719710774,-0.1333865262441832,-0.27844913954246464,-0.21670201187953353,-0.2571017441805452,-0.9313310510478914,-0.08062944794073701,0.9146638121455908,0.47461590683087707,0.6248642187565565,0.6204926378559321,1,1,1,1,3,0,3,10,1,1,4,4,4,1,1,2.9673495653919297,Ni,0.2076676901237119,0.9333697416527427,-1.156911864206445,-1.5718161205103542,3.0759862036096504,1,Nj,1.1291429408610563,0.6604035071508537,0.19041274886751905,0.12145888553339257,comp,0,0,comp,0,3704
-0.3556443545482408,-0.08909698032063962,-0.041733741806571516,-0.3507006903310304,-0.27633602800779045,-0.29446255532093346,-0.6635090329218656,-0.3175065678078681,0.052525648614391685,0.5759503149893135,0.030114765744656324,0.8183259984944016,1,1,1,1,6,2,3,0,1,1,5,5,1,1,1,2.8514343643181554,Ni,1.691058425053329,0.9147568558593968,0.5670883617194914,0.5253546199129199,2.8117977614750993,1,Nj,1.4900007448390225,0.9591251214997915,0.48787360016984377,0.3987766198492042,coex,496,4489,coex,561,4489
