model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
model3,0,0,-477.43514834916834,10.412607300615859,8.583902007092203,1.6841145933017378,954.8702966983367,20.825214601231718
model4,-0.11221215490497904,0.3960030331596826,-477.5473605040733,10.522448388481239,8.196213741350597,1.490933530433591,955.0947210081466,21.044896776962478
model2,-0.8955407290062354,1.5672996384426985,-478.3306890781746,10.205929516231407,9.3792985665323,1.700010855331006,956.6613781563492,20.411859032462814
model1,-1.8275811840705902,1.6589630850855894,-479.2627295332391,11.23980573482512,8.27332727799928,1.7195455476403596,958.5254590664782,22.47961146965024
