"","focal","function.int","Rhat","Neff"
"1","LARO",1,1.00464666081991,651.151351634104
"2","LARO",2,1.00696343404384,617.78720585801
"3","LARO",3,1.0200114735312,230.099447100516
"4","LARO",4,1.01867480028982,217.383885402983
