"","function.name","ab.min","ab.max","ab.mean","ab.sd","ab.median","dfreedom"
"1","1.Traditional",0,30.688265930433,5.87977755054526,5.17608581314315,4.31468253805808,2099
"2","2.Linear",0,28.7207756077585,2.15649956859987,3.95868839274726,0.330872316408712,2099
"3","3.Exp",0,23.8504102482274,6.90889101566228,4.29279261639792,6.20128136939637,2099
"4","4.Sigmoid",0,25.378266545067,4.74996787244117,4.11835446205209,3.58223580255823,2099
"5","observed",0,40,1.84245398773006,3.67964904119526,0.5,814
